country,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,industry,inflation,trade,unemployment,urban,palma_ratio,va_score,cc_score,ge_score
BGD,1994,65.2714888764112,0.033012230974896,3.89012644116818,521.323144726555,6.256370088882787,23.4699924276778,5.31374007936497,22.8658645545703,2.37,21.3383159101032,3.8786797502230153,40.8,23.88,32.99
BGD,1995,46.3084297180176,0.0049983781882192,5.12127789724337,537.931946643983,6.287732058934044,23.5808244521571,10.2978117947206,28.2094960764218,2.441,21.661231550566,4.1402214022140225,40.51,26.26,40.96
BGD,1996,62.3408639225315,0.0291349551912919,4.52291921684423,552.077107138767,6.313687723367389,21.6839165728619,2.37712902953223,26.0760877233809,2.51,21.9780786680138,4.153061224489796,51.29,30.2,35.57
BGD,1997,46.3084297180176,0.288896567530213,4.4898964976265,566.271140847632,6.339073010930571,21.8626700944451,5.30560105668801,26.3255133900833,2.698,22.2953437419401,4.171802054154995,43.05,26.0,40.5
BGD,1998,41.9298782348633,0.380236166897954,5.1770268731498,584.448175174047,6.37066811175281,22.6607423702209,8.40223795613228,27.8800634028394,2.893,22.6195132518384,4.175257731958763,50.75,30.18,40.75
BGD,1999,45.0674591064453,0.350304290993083,4.67015636882111,600.232323162952,6.397316785543117,22.3758655367007,6.10669589841958,28.3879405571158,3.088,22.957073677202,4.2267552182163195,41.5,25.66,39.3
BGD,2000,46.7210006713867,0.525362089236087,5.29329471892532,620.560472822105,6.430623058110431,22.2793826819325,2.20825620937535,29.3217143619038,3.27,23.3145114975244,4.245229007633588,49.11,24.78,34.4
BGD,2001,48.4609718322754,0.145443904569924,5.07728777526728,641.288922876274,6.463480093085436,22.5838118742213,2.0071737421384,32.0980170730117,3.609,23.6999214768623,4.262906309751434,45.29,26.26,38.02
BGD,2002,49.6199493408203,0.0955793676464671,3.83312393993225,655.672139362272,6.4856608764511465,22.8392543728467,3.33256493271912,28.9673807211649,3.966,24.1132383547332,4.35631067961165,45.29,18.52,34.73
BGD,2003,49.5259017944336,0.44596078329809,4.73956739963045,676.826252046427,6.517414596024433,22.4741487860882,5.66870773441476,27.657884900158,4.32,24.5525557512625,4.486111111111111,44.32,18.24,30.6
BGD,2004,46.3084297180176,0.689472335587339,5.23953291029852,702.656357081873,6.5548679488008865,22.7797200060528,7.58753638504689,26.8582341492431,4.316,25.0094809886101,4.509452736318408,45.98,17.17,33.72
BGD,2005,45.1695098876953,1.17065167448603,6.53594493875502,739.203718353409,6.6055735505548245,23.2998442190711,7.04661816222038,34.396934864465,4.25,25.4769540701509,4.557114228456913,47.11,18.24,33.94
BGD,2006,45.7007904052734,0.635863899506714,6.67190498576788,779.419570444998,6.658549502218567,24.0953205119221,6.76526117054757,38.1119244325921,3.591,25.9479149992596,4.4816285998013905,47.88,18.91,32.99
BGD,2007,46.4658813476562,0.817756922700044,7.05859935449848,825.508229964537,6.715999232982851,24.5005410079343,9.10698496905382,39.9423826531735,4.015,26.415303779311,4.447968285431119,47.96,24.63,34.37
BGD,2008,44.5729598999023,1.4496579161576,6.01378975738535,866.45815762135,6.764413819035702,24.7270013036793,8.90194489465153,42.6209140325589,4.49,26.87206041368,4.177251184834123,48.65,28.66,34.91
BGD,2009,48.1255798339844,0.879517142536145,5.04512479919337,901.729626251937,6.804314725962496,25.2955721814431,5.42347236174679,40.092796223023,5.0,27.3111249057412,4.06145251396648,51.2,29.41,35.5
BGD,2010,49.5031106793162,1.06896766308322,5.57178818533122,943.66422864236,6.849770412875309,24.9564767264585,8.12667639169917,37.8028426708321,3.379,27.7254372588696,4.108286252354049,51.33,27.17,35.65
BGD,2011,49.7515496494472,0.983399364184761,6.46437912497728,995.579947155662,6.903325428823803,25.0452996007551,11.3951651552399,47.4208498356898,3.737,28.1100162712427,3.997229916897507,49.7,26.55,35.06
BGD,2012,51.6718482971191,1.18850391920183,6.52145877906443,1050.39140404066,6.956918139444686,25.3099593902625,6.21750422069283,48.1109227490467,4.07,28.4787972894576,3.959633027522936,46.13,25.16,35.81
BGD,2013,55.6214332189314,1.73532012481503,6.01360565834344,1103.15695907123,7.005931311098014,26.3070701636507,7.53040640913172,46.2964027228174,4.426,28.8407036106763,3.9180327868852465,44.51,24.93,36.29
BGD,2014,66.8282318620991,1.46870305074204,6.0610593588495,1159.40753475981,7.055664407728581,26.3110467833576,6.99163889220848,44.5140801968096,4.417,29.1944442321013,3.848920863309353,43.05,23.88,38.02
BGD,2015,59.4217414855957,1.4507824552936,6.55263987816197,1224.38647668165,7.110195162156987,26.8313948329541,6.19428022984983,42.0859963070382,4.397,29.5395099477892,3.749338040600177,41.5,26.0,38.61
BGD,2016,64.1664546117285,0.879528340271998,7.11347821270093,1299.83091360792,7.169989468534807,31.0691513830358,5.51352572692995,31.3341501346142,4.35,29.8753915517965,3.724956063268893,40.51,26.26,40.96
BGD,2017,62.3408639225315,0.616341784631384,6.59024999794057,1373.75363740186,7.225302153504579,31.2482919641603,5.70207015717238,29.9997306724343,4.372,30.2015798381799,3.729111697449429,40.8,26.35,40.2
BGD,2018,65.2714888764112,0.75354913412869,7.31941263014136,1462.25050255713,7.287731968010632,31.9828135899766,5.54362139486476,32.5146317240884,4.439,30.5175656009959,3.729111697449429,40.01,25.66,39.3
BGD,2019,65.1185413488915,0.543244141585063,7.88191515117722,1564.20802445636,7.355134920224906,32.8525491977868,5.59199639930629,31.5780544912404,4.504,30.8228396343012,3.729111697449429,39.52,25.58,39.73
BGD,2020,66.4329548486639,0.407859894856915,3.44801755122445,1604.6659234742,7.380670866530346,32.9115650824449,5.69107474746211,26.271447376215,5.539,31.1168927321524,3.729111697449429,39.26,26.07,37.31
BGD,2021,66.8282318620991,0.414118154040593,6.93867912442445,1702.08028414189,7.439606478491973,33.3160943869001,5.54565430773473,27.7240047036631,5.457,31.3992156886061,3.729111697449429,38.35,25.73,40.38
BGD,2022,67.0384586440383,0.347960024540439,7.09982877575158,1804.3493461776,7.49795533274916,33.9200804971876,7.69695437176898,33.7799672705735,4.593,31.673734726234,3.729111697449429,38.08,24.0,39.22
BGD,2023,65.9856598598849,0.335721505298968,5.77511237007889,1885.37733613545,7.541883258170298,34.5942721606063,9.8835030377921,30.9829714104596,3.352,32.1578465036834,3.729111697449429,36.98,23.59,40.5
BGD,2024,64.2997191043961,0.283870773350074,4.22325911250161,1941.27874360025,7.571102181101636,34.0971743458877,10.4657482763412,26.7780758040478,3.635,32.6783196323307,3.729111697449429,36.53,25.55,39.31
