country,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,industry,inflation,trade,unemployment,urban,palma_ratio,va_score,cc_score,ge_score
LKA,1994,86.983772277832,1.42019594735505,5.59991872510166,1620.2912104558,7.390361171612237,26.4041902211078,8.44871248698348,79.4307906970319,13.03,16.2630967827755,4.031222123104371,50.27,43.27,45.81
LKA,1995,87.1477432250977,0.42975354803099,5.5000852341585,1681.35053208093,7.427352637595704,26.6839789029789,7.67484873449805,81.6350490886111,12.27,15.8652068539762,4.178966789667897,53.43,42.95,46.76
LKA,1996,95.1442636196356,0.862545735590984,3.79996720568178,1712.00815802791,7.445422321893552,26.5742275506166,15.9358310447214,78.8739637143809,11.35,15.5065242809941,4.283858998144712,50.87,49.69,45.45
LKA,1997,94.6744689941406,2.84957994822129,6.40539969571286,1787.41017985524,7.488523024273604,26.9936625997448,9.57369626405162,80.1375533095503,10.6,15.1948401614719,4.390289449112979,52.72,41.65,41.82
LKA,1998,95.1442636196356,1.22725240374875,4.69842304772052,1836.38946262206,7.515556674296123,27.6167149449992,9.36424300683229,78.4949891255872,9.17,14.9379455930521,4.4779756326148075,51.34,49.67,39.53
LKA,1999,95.9107331693991,1.12277824473328,4.30054049813373,1880.1067802774,7.5390838522309425,27.3613237332533,4.69170563048438,78.7514783496374,8.88,14.7436316733772,4.608159392789374,51.44,44.31,49.13
LKA,2000,93.4926277980089,1.04207418020439,6.00003315828934,1956.93310381072,7.579133783782043,27.3180767964657,6.17627591012045,88.636441704913,7.74,14.6196895000898,4.700381679389313,49.47,46.62,41.82
LKA,2001,95.1442636196356,1.09074720867871,-1.54540813366026,1896.48251734068,7.547756142705594,26.8205944160785,14.15845579912,80.8986015327576,7.9,14.5739539539707,4.77055449330784,52.72,42.27,50.62
LKA,2002,94.0418660922689,1.1882779089504,3.96467568513113,1951.22522777045,7.576212776179776,28.0106134516732,9.55103167007251,76.3351317826517,8.76,14.6107836754127,4.910679611650486,52.96,44.31,49.12
LKA,2003,87.9534065332114,1.21132740876657,5.9402690780223,2052.03045078787,7.626585045745793,28.4245704176973,6.31463787051174,75.336247330543,8.22,14.7256630416211,4.9980158730158735,53.43,43.53,43.77
LKA,2004,87.1477432250977,1.12667735136244,5.44506127885352,2149.10628588002,7.672807353716381,28.6181015199147,7.57592582995856,79.4829449011187,8.38,14.9130061059922,4.984079601990049,52.58,46.73,42.37
LKA,2005,95.1442636196356,1.11612854301768,6.24174804376447,2268.6880127005,7.726956975414227,30.1880884644457,11.6396860971118,73.6039729580533,7.67,15.167273918248,4.99498997995992,52.72,42.95,44.42
LKA,2006,87.1477432250977,1.6970072277349,7.66829190107919,2426.34873273046,7.794142827207227,30.6422951801489,10.0201836057035,71.2611784883009,6.5,15.4829275281105,4.933465739821251,51.44,43.27,45.72
LKA,2007,95.9107331693991,1.8639738781084,6.79682611892866,2573.54362192705,7.853039069377382,29.9198197775274,15.8421114924843,68.6065116601391,5.97,15.8544279853018,4.827552031714569,49.49,45.06,47.03
LKA,2008,95.1442636196356,1.84752962305149,5.95008814473897,2708.58594222506,7.904181985155768,29.3711947494741,22.5644955300126,63.369043608222,5.22,16.2762363395441,4.4966824644549765,47.16,42.44,46.91
LKA,2009,87.1477432250977,0.960390452698523,3.53891205317842,2787.27350976338,7.93281916036442,29.6714387318411,3.46496322106074,49.1491415308235,5.85,16.7428136405592,4.322160148975792,47.71,43.97,49.48
LKA,2010,92.3497085571289,0.814446069624814,8.01596737055139,2993.01411511147,8.004036223882832,27.7831982984661,6.2176488930462,68.6065116601391,4.784,17.2486209380693,4.477401129943503,45.07,42.56,47.73
LKA,2011,94.108642578125,1.41088360121529,8.6694830119314,3232.37350382301,8.080971977265621,29.0731497643121,6.7167684358854,43.5362302960951,4.118,17.7881192817964,4.441366574330563,44.85,42.83,48.16
