country,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,industry,inflation,trade,unemployment,urban,palma_ratio,va_score,cc_score,ge_score
PAK,1994,29.2962900661933,0.805118941060125,3.73741555767747,1009.06429520182,6.916778740029929,22.3704577657958,12.3681943936948,35.0577237131595,0.601,31.6870914038941,3.671564390665514,36.44,29.18,38.7
PAK,1995,40.4177656413012,1.19175194004056,4.96260914623281,1028.96592446155,6.936309620088013,21.3232921847751,12.3435785170513,36.132753673519,0.611,31.9144613917436,3.595076400679117,39.97,28.71,38.08
PAK,1996,27.2463207244873,1.45605449462756,4.84658128681654,1047.88663514614,6.954530686459436,21.9943844205166,10.3738085885002,38.3301268339895,0.6,32.1402116675762,3.5212677231025853,39.79,24.45,40.83
PAK,1997,29.0634307861328,1.14722858022912,1.01439601077892,1028.99804758369,6.936340838440306,21.5572792952471,11.3754928865122,36.8522661008964,0.611,32.3647607033211,3.9044247787610615,38.86,28.71,39.47
PAK,1998,35.8643246680809,0.813610045502484,2.55023429817393,1026.50033720969,6.93391056496326,22.0530195066132,6.22800415424543,34.011725180531,0.62,32.5871723893723,4.308630393996247,38.86,31.65,40.75
PAK,1999,30.6300201416016,0.84479500663461,3.66013273943236,1035.49888206288,6.942638601224124,22.103173212169,4.14263718082171,32.3199628094266,0.625,32.8015812487933,4.199443413729128,35.91,25.83,38.83
PAK,2000,40.4177656413012,0.309595026317044,4.2600880111325,1049.54229686852,6.956109440371903,17.1836347813683,4.36666451291681,21.4599638884654,0.614,33.0046884491535,4.054644808743169,33.12,28.13,40.77
PAK,2001,29.7271460529531,0.38910658649849,3.65135017083765,1057.86767778646,6.964010536341795,17.5934942779914,3.14826144590618,23.5772074298467,0.611,33.1988471664032,3.902678571428571,37.16,25.0,39.67
PAK,2002,19.8385200500488,0.843517300073237,2.59481668445784,1059.04171024589,6.965119731271381,17.1588876671988,3.29034472613153,23.1290159545291,0.615,33.3857078542752,4.0857933579335795,35.38,29.36,39.54
PAK,2003,19.8385200500488,0.475207711805665,5.40131087314342,1090.27523993746,6.994185457051062,17.3885833649452,2.91413470059479,24.6501585248398,0.612,33.5669209665019,4.301724137931034,35.91,29.18,35.91
PAK,2004,21.7634296417236,0.845585701616171,7.83125556961251,1146.99632842666,7.044901916101283,18.9071452885794,7.44462469342739,24.8083348519064,0.598,33.7441369568158,4.405063291139241,35.04,25.83,38.56
PAK,2005,22.6038208007812,1.51575083116461,7.2765744364722,1201.23359367214,7.0911043024781355,19.9330293059047,9.06332737030417,29.8784940550747,0.583,33.9190062789495,4.669322709163348,37.16,26.11,38.83
PAK,2006,27.2463207244873,2.63975006245443,6.05163767569996,1243.94142602543,7.126040187002022,20.199119664936,7.92108440058789,33.0497193672284,0.582,34.0931793866356,4.372115384615385,40.96,30.02,40.9
PAK,2007,29.0634307861328,3.03571933817685,4.4448143398844,1265.35567539842,7.14310852796464,19.9449553163591,7.59868441050774,30.7878814312746,0.398,34.2683067336065,4.1138059701492535,39.47,30.73,41.07
