,palma_ratio,gdp_growth,log_gdp_pc,education,fdi,industry,inflation,trade,unemployment,urban,va_score,cc_score,ge_score
palma_ratio,1.0,-0.2432835210550648,-0.7657943735742007,-0.8140145641757707,-0.06864572803044665,-0.8133322996199548,-0.10269395161656965,-0.03670961058980312,-0.29408497648524806,-0.7121684453892789,0.646845330149202,-0.49157751234144076,-0.750240025922458
gdp_growth,-0.2432835210550648,1.0,0.46847413466823457,0.3018035591651681,0.48737427252336013,0.38794275609245166,0.2061255834265489,0.4994600692085721,0.38741505082371924,0.5034095814317929,-0.16752459694294614,0.02126893725361042,0.23346226325625857
log_gdp_pc,-0.7657943735742007,0.46847413466823457,1.0,0.8349110717079258,0.25529282495830236,0.95057923367577,0.2884444972690765,0.20311515224351853,0.6490825212161494,0.9902354231265633,-0.6881457481411976,0.11439402144631461,0.512023199303483
education,-0.8140145641757707,0.3018035591651681,0.8349110717079258,1.0,-0.046685879221576194,0.8938459365782565,0.06790903209712179,-0.11401428577454283,0.45549541376394515,0.7814880669535265,-0.8202833329877499,0.11472724057948976,0.5964795172118799
fdi,-0.06864572803044665,0.48737427252336013,0.25529282495830236,-0.046685879221576194,1.0,0.006676526627803407,0.26609349456709686,0.8372045685382868,0.4580448071512409,0.3626600111174812,0.16260306450924683,0.03434925342232164,-0.14273271511158964
industry,-0.8133322996199548,0.38794275609245166,0.95057923367577,0.8938459365782565,0.006676526627803407,1.0,0.23963597803572104,-0.05136371925102388,0.5288495965389972,0.9052030788900728,-0.7774367724593538,0.16077374562422153,0.6284186282433668
inflation,-0.10269395161656965,0.2061255834265489,0.2884444972690765,0.06790903209712179,0.26609349456709686,0.23963597803572104,1.0,0.3241053032163667,-0.025581457367294568,0.3101689666689709,-0.10207201949463533,0.07786213879058945,0.09327494626536689
trade,-0.03670961058980312,0.4994600692085721,0.20311515224351853,-0.11401428577454283,0.8372045685382868,-0.05136371925102388,0.3241053032163667,1.0,0.31176143039382265,0.3062182261395057,0.2676026589177033,0.10580794555992876,-0.18722142462931066
unemployment,-0.29408497648524806,0.38741505082371924,0.6490825212161494,0.45549541376394515,0.4580448071512409,0.5288495965389972,-0.025581457367294568,0.31176143039382265,1.0,0.6978450159047023,-0.33110035635541185,-0.12601139196147773,0.04956589754931347
urban,-0.7121684453892789,0.5034095814317929,0.9902354231265633,0.7814880669535265,0.3626600111174812,0.9052030788900728,0.3101689666689709,0.3062182261395057,0.6978450159047023,1.0,-0.6222334674114555,0.0845914038039824,0.43860859958848863
va_score,0.646845330149202,-0.16752459694294614,-0.6881457481411976,-0.8202833329877499,0.16260306450924683,-0.7774367724593538,-0.10207201949463533,0.2676026589177033,-0.33110035635541185,-0.6222334674114555,1.0,0.13817708850899996,-0.5277341811276413
cc_score,-0.49157751234144076,0.02126893725361042,0.11439402144631461,0.11472724057948976,0.03434925342232164,0.16077374562422153,0.07786213879058945,0.10580794555992876,-0.12601139196147773,0.0845914038039824,0.13817708850899996,1.0,0.4600542170866559
ge_score,-0.750240025922458,0.23346226325625857,0.512023199303483,0.5964795172118799,-0.14273271511158964,0.6284186282433668,0.09327494626536689,-0.18722142462931066,0.04956589754931347,0.43860859958848863,-0.5277341811276413,0.4600542170866559,1.0
