,palma_ratio,gdp_growth,log_gdp_pc,education,fdi,industry,inflation,trade,unemployment,urban,va_score,cc_score,ge_score
palma_ratio,1.0,0.04494098249288455,-0.9585376388682529,-0.8404622301775042,-0.23192199409020686,0.9420766080580091,-0.0007588159819787388,0.6596814257040643,-0.3462935049797178,-0.9367420282610762,-0.6015187767620905,0.2716318979690434,0.24335481842605028
gdp_growth,0.04494098249288455,1.0,-0.05142322675244228,-0.1363048305346648,0.1891261905439346,0.1479060748978056,-0.0509877391374267,0.28706810669901905,-0.44586215874414553,-0.07057898035898749,0.1213623302055326,-0.07678764563112908,0.1420542033731247
log_gdp_pc,-0.9585376388682529,-0.05142322675244228,1.0,0.9096059311350327,0.24615501839373183,-0.9255915073393449,-0.06603846453680931,-0.60109479767633,0.3614912728571251,0.9139095863235983,0.6836988109725344,-0.1867486955056739,-0.20853092051524008
education,-0.8404622301775042,-0.1363048305346648,0.9096059311350327,1.0,0.35708494993097395,-0.7994084812916857,0.010815280566720004,-0.4877011996273216,0.39934244126412993,0.7815319365285893,0.6815754689985906,-0.14823792257032692,-0.17813203942943054
fdi,-0.23192199409020686,0.1891261905439346,0.24615501839373183,0.35708494993097395,1.0,-0.1916630369982057,0.14556419151204564,0.022442924959417795,0.21350659684299328,0.21761959680866066,0.4649964808780925,-0.07955437776348247,0.009711266480285584
industry,0.9420766080580091,0.1479060748978056,-0.9255915073393449,-0.7994084812916857,-0.1916630369982057,1.0,0.04067519099353631,0.7921013654197802,-0.35459782542984536,-0.9589477850751379,-0.493550014302423,0.30881616839163073,0.2321777518630403
inflation,-0.0007588159819787388,-0.0509877391374267,-0.06603846453680931,0.010815280566720004,0.14556419151204564,0.04067519099353631,1.0,-0.09248778471787461,-0.18448921667543228,0.09757423293231099,0.04873438688452894,-0.1803490614814778,0.06686118189310115
trade,0.6596814257040643,0.28706810669901905,-0.60109479767633,-0.4877011996273216,0.022442924959417795,0.7921013654197802,-0.09248778471787461,1.0,-0.2987981861839015,-0.7578979107589615,-0.10970311496916071,0.32553264182499114,0.2004046309214335
unemployment,-0.3462935049797178,-0.44586215874414553,0.3614912728571251,0.39934244126412993,0.21350659684299328,-0.35459782542984536,-0.18448921667543228,-0.2987981861839015,1.0,0.3046010607788086,0.2572227941103704,0.034230215636647424,-0.16657928990816814
urban,-0.9367420282610762,-0.07057898035898749,0.9139095863235983,0.7815319365285893,0.21761959680866066,-0.9589477850751379,0.09757423293231099,-0.7578979107589615,0.3046010607788086,1.0,0.5272688385944112,-0.4012580711411034,-0.2049383022830093
va_score,-0.6015187767620905,0.1213623302055326,0.6836988109725344,0.6815754689985906,0.4649964808780925,-0.493550014302423,0.04873438688452894,-0.10970311496916071,0.2572227941103704,0.5272688385944112,1.0,0.05480959445456336,-0.12949695976612605
cc_score,0.2716318979690434,-0.07678764563112908,-0.1867486955056739,-0.14823792257032692,-0.07955437776348247,0.30881616839163073,-0.1803490614814778,0.32553264182499114,0.034230215636647424,-0.4012580711411034,0.05480959445456336,1.0,0.1037119734088928
ge_score,0.24335481842605028,0.1420542033731247,-0.20853092051524008,-0.17813203942943054,0.009711266480285584,0.2321777518630403,0.06686118189310115,0.2004046309214335,-0.16657928990816814,-0.2049383022830093,-0.12949695976612605,0.1037119734088928,1.0
