,palma_ratio,gdp_growth,log_gdp_pc,education,fdi,industry,inflation,trade,unemployment,urban,va_score,cc_score,ge_score
palma_ratio,1.0,0.36795052290080477,-0.3934395316098113,-0.5360013206949417,0.2934583931580158,-0.2109896307796552,-0.36623281631212534,-0.22593345255731195,-0.48832219878894934,-0.3743686684425051,-0.47033702199697347,0.2878099561445275,-0.045322722414742486
gdp_growth,0.36795052290080477,1.0,-0.07181587696590386,-0.2454176743529742,0.08864632882223494,-0.24446874432256047,-0.44228329341094585,-0.16706391828234948,-0.19548726967309318,-0.16011510338567986,-0.12231482248003826,0.10861331850843822,0.23983298754887522
log_gdp_pc,-0.3934395316098113,-0.07181587696590386,1.0,0.5880730366296163,-0.15985339557346304,-0.19029811757587872,0.329214330636879,-0.2543950128365883,0.8621001489146612,0.9745608165488473,0.42015878593166345,0.05802310805782905,0.09614826673890788
education,-0.5360013206949417,-0.2454176743529742,0.5880730366296163,1.0,-0.2670807286281549,0.028938061203270343,0.28798089691213546,-0.070071448208085,0.6679582127818932,0.6235057837192649,0.2229058494088927,0.10034291962033318,0.28903205649923197
fdi,0.2934583931580158,0.08864632882223494,-0.15985339557346304,-0.2670807286281549,1.0,0.23439892879734278,0.15660409757602695,0.42023106737243515,-0.42891349442763527,-0.26904325992889955,0.07942041213061325,0.15325523549878234,0.008811156801788542
industry,-0.2109896307796552,-0.24446874432256047,-0.19029811757587872,0.028938061203270343,0.23439892879734278,1.0,0.4590888891113026,0.8923402905428082,-0.14786852440843434,-0.21575254833583646,0.24525845702229385,-0.3915805851787867,-0.1923329766169775
inflation,-0.36623281631212534,-0.44228329341094585,0.329214330636879,0.28798089691213546,0.15660409757602695,0.4590888891113026,1.0,0.4379047365751349,0.2750996982880978,0.3541717969523599,0.06552749670160699,-0.2710937012167173,-0.34930650853261513
trade,-0.22593345255731195,-0.16706391828234948,-0.2543950128365883,-0.070071448208085,0.42023106737243515,0.8923402905428082,0.4379047365751349,1.0,-0.2593735928466957,-0.3284251096102085,0.3037594332225081,-0.28123961972730344,-0.1591304349769022
unemployment,-0.48832219878894934,-0.19548726967309318,0.8621001489146612,0.6679582127818932,-0.42891349442763527,-0.14786852440843434,0.2750996982880978,-0.2593735928466957,1.0,0.8938308214930151,0.2992975612150028,0.10609104698694345,0.23213722142465362
urban,-0.3743686684425051,-0.16011510338567986,0.9745608165488473,0.6235057837192649,-0.26904325992889955,-0.21575254833583646,0.3541717969523599,-0.3284251096102085,0.8938308214930151,1.0,0.294835801667219,0.0434367659286077,0.030855103680184497
va_score,-0.47033702199697347,-0.12231482248003826,0.42015878593166345,0.2229058494088927,0.07942041213061325,0.24525845702229385,0.06552749670160699,0.3037594332225081,0.2992975612150028,0.294835801667219,1.0,-0.021996618327402913,0.13238180186130238
cc_score,0.2878099561445275,0.10861331850843822,0.05802310805782905,0.10034291962033318,0.15325523549878234,-0.3915805851787867,-0.2710937012167173,-0.28123961972730344,0.10609104698694345,0.0434367659286077,-0.021996618327402913,1.0,0.45684953550509455
ge_score,-0.045322722414742486,0.23983298754887522,0.09614826673890788,0.28903205649923197,0.008811156801788542,-0.1923329766169775,-0.34930650853261513,-0.1591304349769022,0.23213722142465362,0.030855103680184497,0.13238180186130238,0.45684953550509455,1.0
