,palma_ratio,gdp_growth,log_gdp_pc,education,fdi,industry,inflation,trade,unemployment,urban,va_score,cc_score,ge_score
palma_ratio,1.0,0.155998380821921,0.2918647127498944,0.36430898311227966,0.44643726487713103,0.24586842138547116,-0.09055796977971407,0.35462462731257516,0.08570399866287405,-0.17036772659769814,0.37898103742369943,0.39804466041159636,0.6152144435501183
gdp_growth,0.155998380821921,1.0,-0.11127180052684311,-0.00267538823411564,0.11139903626884944,0.2232856989526483,-0.363694345989127,0.06143218052764722,0.014417730979973028,-0.07337473592937013,0.1788083873460518,0.0379414658799667,0.16395951900369848
log_gdp_pc,0.2918647127498944,-0.11127180052684311,1.0,0.6691956372687883,0.39538253907816123,0.4921634847151247,0.1648043783723033,0.31732939760763024,-0.22982092961646786,-0.33982847702881636,-0.00227748815938232,0.42606134897268993,0.592807652453862
education,0.36430898311227966,-0.00267538823411564,0.6691956372687883,1.0,0.2189867288002867,0.3987304771517316,0.023955668516782484,0.6270671657961668,0.3708559887969788,-0.18805466316549582,0.40498000146423524,0.6473397394698721,0.4648890901453463
fdi,0.44643726487713103,0.11139903626884944,0.39538253907816123,0.2189867288002867,1.0,0.4373629126441371,0.16408026028860612,0.26527174189747316,-0.18668024170839595,-0.31276649384302074,0.28885106135729316,0.33774147083098216,0.5413330098921515
industry,0.24586842138547116,0.2232856989526483,0.4921634847151247,0.3987304771517316,0.4373629126441371,1.0,0.08637626971802415,0.1986823480153833,-0.22649611669433725,-0.7626937486556161,0.244220974631674,0.3652809428445412,0.6144286597044017
inflation,-0.09055796977971407,-0.363694345989127,0.1648043783723033,0.023955668516782484,0.16408026028860612,0.08637626971802415,1.0,0.09848708795152665,-0.06983041309634401,-0.07050162526109452,-0.10375054321303741,0.012444572288674674,-0.04823330480737841
trade,0.35462462731257516,0.06143218052764722,0.31732939760763024,0.6270671657961668,0.26527174189747316,0.1986823480153833,0.09848708795152665,1.0,0.49198894632398876,-0.269119735814262,0.24628527774002965,0.5890839606400202,0.1991726387543888
unemployment,0.08570399866287405,0.014417730979973028,-0.22982092961646786,0.3708559887969788,-0.18668024170839595,-0.22649611669433725,-0.06983041309634401,0.49198894632398876,1.0,0.35626841022706557,0.5146677306371393,0.4566876029548075,-0.08344079682789908
urban,-0.17036772659769814,-0.07337473592937013,-0.33982847702881636,-0.18805466316549582,-0.31276649384302074,-0.7626937486556161,-0.07050162526109452,-0.269119735814262,0.35626841022706557,1.0,-0.012773278695761591,-0.29660439340723943,-0.44081141379984246
va_score,0.37898103742369943,0.1788083873460518,-0.00227748815938232,0.40498000146423524,0.28885106135729316,0.244220974631674,-0.10375054321303741,0.24628527774002965,0.5146677306371393,-0.012773278695761591,1.0,0.6562055444906282,0.46833122494933777
cc_score,0.39804466041159636,0.0379414658799667,0.42606134897268993,0.6473397394698721,0.33774147083098216,0.3652809428445412,0.012444572288674674,0.5890839606400202,0.4566876029548075,-0.29660439340723943,0.6562055444906282,1.0,0.6475726817162786
ge_score,0.6152144435501183,0.16395951900369848,0.592807652453862,0.4648890901453463,0.5413330098921515,0.6144286597044017,-0.04823330480737841,0.1991726387543888,-0.08344079682789908,-0.44081141379984246,0.46833122494933777,0.6475726817162786,1.0
